

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
1503B.OP7     STAGE 2 CALIBRATION 1503B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

        Actual 1503B.OP7|
 Year    Catch  MDL Cat | Compare
 ==== ======== ======== |========
2007    none      8832     5632       85    14549     -NA-    1.179    0.845    0.000    0.174    1.043
2008    none     77911     1482       40    79433     -NA-    0.990    0.141    0.000    0.027    0.973
2009    none     31044    17620      306    48970     -NA-    1.022    1.036    0.000    0.033    1.020
2010    none    125197     5542       29   130768     -NA-    1.058    0.885    6.856    0.062    1.052
2011    none     55415    15128       34    70577     -NA-    1.070    0.525    0.000    0.157    0.952
2012    none     43089    13606       71    56766     -NA-    1.111    0.727    0.000    0.150    1.017
2013    none     69565    16862      142    86569     -NA-    1.137    0.733    0.000    0.164    1.057
2014    none    104526    22192      273   126991     -NA-    1.144    0.574    0.093    0.195    1.042
2015    none    126200    34200      100   160500     -NA-    1.001    0.555    0.308    0.096    0.906
Average Magnitudes                                                                       0.185    0.060

TERMINAL RUN CALIBRATION FOR BON
1503B.OP7     STAGE 2 CALIBRATION 1503B
----------------------------------------------

       Calibration Data                               MODEL COMPARISONS                  Age    
Year    Age 2    Age 3    Age 4    Age 5    Total    Age 2    Age 3    Age 4    Age 5  Struct.    Total
=======================================================================================================
1979    none     23265    26236     4754    54255     -NA-    1.001    1.103    1.000    0.050    1.050
1980    none     16409    28842     3017    48268     -NA-    1.435    0.977    0.107    0.217    1.079
1981    none     21300    19700     2331    43331     -NA-    1.205    0.740    1.272    0.233    0.997
1982    none     39400    22123     2194    63717     -NA-    1.211    0.810    0.074    0.228    1.033
1983    none     20527    18540     1160    40227     -NA-    1.717    0.577    0.860    0.565    1.167
1984    none     24164    21896      729    46789     -NA-    1.395    0.445    0.363    0.474    0.934
1985    none     28329    19502     2895    50726     -NA-    1.384    0.666    0.120    0.393    1.036
1986    none     44257    22538     3902    70697     -NA-    1.448    0.656    0.222    0.433    1.128
1987    none    108465    45114     3657   157236     -NA-    1.354    0.549    0.149    0.393    1.095
1988    none     13550    95202      338   109090     -NA-    1.289    0.586    2.605    0.402    0.679
1989    none     11843    17395     1978    31216     -NA-    1.551    0.802    1.540    0.354    1.133
1990    none      7991    12794      706    21491     -NA-    0.984    0.511    0.331    0.319    0.681
1991    none     22719     2999      504    26222     -NA-    1.233    1.057    0.462    0.219    1.198
1992    none     24537    15594       43    40174     -NA-    1.175    0.656    0.000    0.241    0.972
1993    none     11828    12530      301    24659     -NA-    1.076    0.683    1.210    0.200    0.878
1994    none     14041     6504      386    20931     -NA-    0.906    0.904    0.169    0.108    0.892
1995    none      9198     4995      479    14672     -NA-    0.807    1.264    0.437    0.229    0.951
1996    none     16707     2390        0    19097     -NA-    0.994    1.779     -NA-    0.103    1.104
1997    none     10242     8832      244    19318     -NA-    1.085    1.020    0.621    0.059    1.049
1998    none     10002     7662      398    18062     -NA-    0.977    0.892    0.807    0.063    0.937
1999    none      6942     4917      286    12145     -NA-    0.978    1.059    0.852    0.040    1.008
2000    none      2410     3493       65     5968     -NA-    4.162    1.114    0.000    1.354    2.333
2001    none     26104    14279      388    40771     -NA-    1.698    0.593    0.357    0.595    1.298
2002    none     29990    39400     2108    71498     -NA-    1.204    0.677    0.143    0.289    0.883
2003    none     10904    37545     5888    54337     -NA-    1.126    0.845    0.068    0.234    0.817
2004    none      6737    22567      528    29832     -NA-    0.690    0.879    0.502    0.170    0.830
2005    none      3933     6464      906    11303     -NA-    1.536    1.536    2.514    0.614    1.614
2006    none      1568     4005     1697     7270     -NA-    1.591    0.496    0.187    0.595    0.660
2007    none      2533     1954      637     5124     -NA-    3.225    0.825    0.863    1.184    2.016
2008    none     11993     6490      584    19067     -NA-    1.087    0.132    0.000    0.380    0.729
2009    none      4365     7039        0    11404     -NA-    1.041    0.852     -NA-    0.107    0.925
2010    none     17809     1041        0    18850     -NA-    1.186    0.921     -NA-    0.180    1.184
2011    none     17144     7366       97    24607     -NA-    0.908    0.564    0.000    0.199    0.801
2012    none     26692     1676       88    28456     -NA-    0.932    1.941    0.000    0.122    0.989
2013    none      9473     3850        0    13323     -NA-    1.547    1.465     -NA-    0.523    1.523
2014    none     17373     8693       15    26081     -NA-    1.211    0.425    2.729    0.334    0.950
2015    none     19800     9000      200    29000     -NA-    1.001    0.589    0.161    0.134    0.867
Average Magnitudes                                                                       0.333    0.207

TERMINAL RUN CALIBRATION FOR CWF
1503B.OP7     STAGE 2 CALIBRATION 1503B
----------------------------------------------

       Calibration Data                               MODEL COMPARISONS                  Age    
Year    Age 2    Age 3    Age 4    Age 5    Total    Age 2    Age 3    Age 4    Age 5  Struct.    Total
=======================================================================================================
1979    none     27635    31164     5646    64445     -NA-    0.697    1.013    1.000    0.136    0.876
1980    none     19491    34258     3583    57332     -NA-    0.597    1.204    0.891    0.266    0.978
1981    none     25300    23400     2769    51469     -NA-    0.475    1.261    1.504    0.404    0.888
1982    none     46800    26277     2606    75683     -NA-    0.484    1.445    1.667    0.497    0.858
1983    none     24381    22023     1379    47783     -NA-    0.611    1.983    2.156    0.685    1.288
1984    none     28701    26008      867    55576     -NA-    0.319    1.261    3.895    0.519    0.815
1985    none     33650    23166     3438    60254     -NA-    0.492    1.660    1.787    0.582    1.015
1986    none     52569    26771     4634    83974     -NA-    1.329    1.418    1.923    0.390    1.390
1987    none    128835    53586     4343   186764     -NA-    0.854    0.772    2.366    0.198    0.865
1988    none     13793   175598    11401   200792     -NA-    1.256    1.155    0.555    0.179    1.128
1989    none     13626    39869    46091    99586     -NA-    1.203    0.877    0.818    0.161    0.894
1990    none      8000    20726     7917    36643     -NA-    1.123    0.850    1.174    0.149    0.979
1991    none     16648    16662     3020    36330     -NA-    0.583    0.748    1.117    0.316    0.703
1992    none      5034    14809     2560    22403     -NA-    1.372    1.289    2.257    0.418    1.418
1993    none      8697    15484     3495    27676     -NA-    1.683    0.920    1.763    0.356    1.266
1994    none     10409    17843     4403    32655     -NA-    0.927    0.746    0.857    0.182    0.818
1995    none     14930    12028     4678    31636     -NA-    0.827    1.060    0.699    0.149    0.897
1996    none     20528    33877     1942    56347     -NA-    1.425    1.044    1.018    0.182    1.182
1997    none      2709    30767     4677    38153     -NA-    1.302    0.859    1.235    0.164    0.936
1998    none     11208     7228     8653    27089     -NA-    0.919    0.828    0.495    0.241    0.759
1999    none     10858    15808     1070    27736     -NA-    0.977    1.060    1.394    0.059    1.041
2000    none      3978    14808     2217    21003     -NA-    1.955    0.830    0.981    0.303    1.059
2001    none     34338    17209     1922    53469     -NA-    1.243    0.743    2.438    0.291    1.125
2002    none     35616    46800     2497    84913     -NA-    0.593    0.872    1.252    0.248    0.766
2003    none     20184    69498    10941   100623     -NA-    1.632    1.149    0.784    0.253    1.206
2004    none     17070    40433    20973    78476     -NA-    0.981    0.513    1.199    0.308    0.798
2005    none     14578    38265     9715    62558     -NA-    1.213    1.143    1.712    0.248    1.248
2006    none     11013    28120    11914    51047     -NA-    1.068    0.838    0.568    0.205    0.824
2007    none     13624    10512     3429    27565     -NA-    1.353    0.984    1.427    0.234    1.221
2008    none     25915    14025     1261    41201     -NA-    1.011    0.810    0.545    0.086    0.929
2009    none     25301    37887     2146    65334     -NA-    1.058    1.036    0.000    0.076    1.011
2010    none     53779    25488     4938    84205     -NA-    0.514    0.793    0.663    0.393    0.607
2011    none     28776    52792     2786    84354     -NA-    1.289    1.537    2.363    0.479    1.479
2012    none     18472    29947     7923    56342     -NA-    1.689    0.766    0.723    0.389    1.062
2013    none     39244    46424     4222    89890     -NA-    1.073    0.795    0.692    0.152    0.912
2014    none     18783    49742     7221    75746     -NA-    1.336    0.952    0.558    0.157    1.010
2015    none     24300    34800     6800    65900     -NA-    1.000    0.818    0.924    0.104    0.896
Average Magnitudes                                                                       0.275    0.166

TERMINAL RUN CALIBRATION FOR LRW
1503B.OP7     STAGE 2 CALIBRATION 1503B
----------------------------------------------

       Calibration Data                               MODEL COMPARISONS                  Age    
Year    Age 2    Age 3    Age 4    Age 5    Total    Age 2    Age 3    Age 4    Age 5  Struct.    Total
=======================================================================================================
1979    none     11800    16500     4400    32700     -NA-    0.634    1.071    1.000    0.168    0.904
1980    none      7400    23700     7700    38800     -NA-    0.583    0.966    0.848    0.131    0.869
1981    none      3500    18200     3300    25000     -NA-    0.769    1.034    2.554    0.263    1.198
1982    none      4500     5300     3300    13100     -NA-    0.943    1.125    1.745    0.258    1.219
1983    none      2221    11141     3452    16814     -NA-    0.841    0.969    1.042    0.050    0.967
1984    none      2268     6944     4114    13326     -NA-    0.636    0.707    1.146    0.259    0.830
1985    none      4439     5086     3732    13257     -NA-    1.002    0.805    1.640    0.256    1.106
1986    none      8398    12626     3438    24462     -NA-    0.693    0.775    1.530    0.296    0.853
1987    none     13386    18437     6064    37887     -NA-    1.014    0.878    1.468    0.139    1.020
1988    none      3703    25669    12348    41720     -NA-    1.108    0.551    1.391    0.402    0.849
1989    none      4476    12384    21776    38636     -NA-    1.151    0.693    1.521    0.409    1.213
1990    none      1203     8413    10701    20317     -NA-    1.977    0.723    1.318    0.340    1.111
1991    none      5618     6950     7249    19817     -NA-    0.566    0.690    1.229    0.316    0.852
1992    none      1196     7715     3597    12508     -NA-    0.625    0.685    1.273    0.309    0.848
1993    none      4584     3675     5061    13320     -NA-    0.443    0.510    1.963    0.693    1.039
1994    none      1839     9041     1311    12191     -NA-    0.630    0.765    2.716    0.415    0.954
1995    none      1810     4785     9376    15971     -NA-    1.218    0.881    1.499    0.354    1.282
1996    none      1300     7900     5400    14600     -NA-    1.646    0.599    1.232    0.360    0.926
1997    none       957     6297     5069    12323     -NA-    0.879    0.820    1.547    0.327    1.124
1998    none       417     1741     5095     7253     -NA-    0.939    0.552    1.058    0.152    0.929
1999    none       911     1570      868     3349     -NA-    1.372    0.813    2.033    0.457    1.281
2000    none      2380     6588     1266    10234     -NA-    0.962    0.626    1.252    0.280    0.782
2001    none      3192     9403     3126    15721     -NA-    0.298    0.799    1.679    0.398    0.872
2002    none      3430    14183     7335    24948     -NA-    0.190    0.738    1.271    0.340    0.819
2003    none      2790    12390    10841    26021     -NA-    0.181    0.278    1.549    0.660    0.797
2004    none      6031     5640    10656    22327     -NA-    0.979    1.426    2.101    0.639    1.627
2005    none      2627     9842     4298    16767     -NA-    0.176    0.571    0.973    0.388    0.612
2006    none       573     4587    12736    17896     -NA-    0.807    0.957    1.341    0.260    1.226
2007    none       864     1689     1723     4276     -NA-    0.536    0.619    2.371    0.797    1.308
2008    none      1722     3729     1669     7120     -NA-    0.393    0.891    1.452    0.310    0.902
2009    none      1251     5492      790     7533     -NA-    0.539    0.724    2.023    0.385    0.829
2010    none      2264     5184     3414    10862     -NA-    0.469    0.798    1.751    0.443    1.029
2011    none      1977    10960     2243    15180     -NA-    0.219    0.671    1.724    0.446    0.768
2012    none      1761     6656     5509    13926     -NA-    0.202    0.613    1.872    0.631    1.059
2013    none      9590    12992     3259    25841     -NA-    0.220    0.595    2.265    0.653    0.667
2014    none      2035    21680     2043    25758     -NA-    0.484    0.772    4.264    0.492    1.026
2015    none      2500     6700     9700    18900     -NA-    1.000    1.157    2.281    0.713    1.713
Average Magnitudes                                                                       0.383    0.182

TERMINAL RUN CALIBRATION FOR WSH
1503B.OP7     STAGE 2 CALIBRATION 1503B
----------------------------------------------

       Calibration Data                               MODEL COMPARISONS                  Age    
Year    Age 2    Age 3    Age 4    Age 5    Total    Age 2    Age 3    Age 4    Age 5  Struct.    Total
=======================================================================================================
1979    none     21364    28325      388    50077     -NA-    0.795    0.973    1.000    0.103    0.897
1980    none     25075    19124      955    45154     -NA-    1.357    1.252    1.808    0.322    1.322
1981    none     29008    29380      724    59112     -NA-    1.608    0.721    0.397    0.444    1.153
1982    none     46464    32037      845    79346     -NA-    1.084    0.459    0.109    0.277    0.821
1983    none     38084    25410      619    64113     -NA-    0.888    0.864    0.500    0.125    0.875
1984    none     46106    39431     1077    86614     -NA-    0.974    1.083    0.594    0.057    1.019
1985    none     37916    30655      969    69540     -NA-    1.028    1.044    2.007    0.049    1.049
1986    none     49856    24277      705    74838     -NA-    0.988    0.924    0.808    0.035    0.965
1987    none     60897    34556      493    95946     -NA-    0.948    1.021    2.545    0.048    0.983
1988    none     67778    52317      947   121042     -NA-    0.999    1.074    0.900    0.033    1.031
1989    none     47248    68573     1112   116933     -NA-    1.087    0.966    0.362    0.061    1.009
1990    none     68321    63987     1806   134114     -NA-    0.728    0.922    2.314    0.193    0.842
1991    none     43064    67625     2892   113581     -NA-    1.202    1.252    1.296    0.234    1.234
1992    none     26118    55624     1815    83557     -NA-    1.153    0.828    1.873    0.181    0.952
1993    none     28669    42321     1313    72303     -NA-    0.993    0.904    1.665    0.071    0.953
1994    none     26550    25869      659    53078     -NA-    1.002    1.008    1.119    0.006    1.006
1995    none     18660    25609      824    45093     -NA-    1.103    0.993    1.010    0.047    1.039
1996    none     17185    21045      336    38566     -NA-    1.023    0.919    1.375    0.058    0.969
1997    none     21853    17471      390    39714     -NA-    1.083    0.981    0.455    0.060    1.032
1998    none     21803    26398      515    48716     -NA-    1.305    0.935    0.884    0.173    1.100
1999    none     29578    27576      633    57787     -NA-    0.998    0.754    0.830    0.120    0.880
2000    none     34703    26220      369    61292     -NA-    0.817    0.983    1.364    0.113    0.892
2001    none     45907    39362      426    85695     -NA-    1.158    1.169    2.175    0.168    1.168
2002    none     94226    32700      687   127613     -NA-    1.101    0.783    0.547    0.132    1.016
2003    none     49959    81899      341   132199     -NA-    1.096    0.889    0.517    0.107    0.966
2004    none     89726    65799     1601   157126     -NA-    1.026    0.912    0.784    0.054    0.976
2005    none     24404    43694      544    68642     -NA-    0.981    0.953    2.755    0.050    0.977
2006    none     45360    17155     1529    64044     -NA-    1.153    1.037    0.800    0.123    1.114
2007    none     15720    26458     1123    43301     -NA-    0.859    0.729    0.852    0.220    0.780
2008    none     27287     5052      289    32628     -NA-    0.885    1.472    1.781    0.176    0.984
2009    none     33607     8309      172    42088     -NA-    1.072    1.390    0.000    0.138    1.130
2010    none     98790    19221      176   118187     -NA-    1.007    0.884    0.368    0.026    0.986
2011    none     63461    22103      411    85975     -NA-    0.986    0.972    0.589    0.019    0.981
2012    none     48121    21845      187    70153     -NA-    0.957    1.031    0.530    0.040    0.979
2013    none     39262    13609      191    53062     -NA-    0.931    1.147    1.935    0.092    0.990
2014    none     41205    10532       57    51794     -NA-    1.031    1.259    2.237    0.078    1.078
2015    none     38600    16700      140    55440     -NA-    1.000    0.924    0.931    0.023    0.977
Average Magnitudes                                                                       0.115    0.078

TERMINAL RUN CALIBRATION FOR CWS
1503B.OP7     STAGE 2 CALIBRATION 1503B
----------------------------------------------

       Calibration Data                               MODEL COMPARISONS                  Age    
Year    Age 2    Age 3    Age 4    Age 5    Total    Age 2    Age 3    Age 4    Age 5  Struct.    Total
=======================================================================================================
1979    none     none     none     none     19810     -NA-     -NA-     -NA-     -NA-     -NA-    1.161
1980    none     18837     9506      148    28491     -NA-    1.109    0.695    0.329    0.177    0.967
1981    none     24031     9871      248    34150     -NA-    1.139    0.803    0.233    0.160    1.035
1982    none     17722    13746      178    31646     -NA-    0.985    0.756    0.390    0.118    0.882
1983    none     23357     6438       81    29876     -NA-    0.901    1.034    1.124    0.085    0.930
1984    none     23846     5645       24    29515     -NA-    0.812    1.401    2.429    0.230    0.926
1985    none     11313     3041       11    14365     -NA-    0.931    2.473    6.297    0.370    1.262
1986    none     13279     3316       66    16661     -NA-    1.165    1.235    0.998    0.178    1.178
1987    none     28791     8122       38    36951     -NA-    1.008    0.735    0.943    0.064    0.947
1988    none     13749    11060       83    24892     -NA-    1.384    1.002    0.629    0.214    1.212
1989    none      9961    12032      336    22329     -NA-    1.357    0.606    0.289    0.382    0.936
1990    none     10162     8073      606    18841     -NA-    1.239    0.635    0.105    0.314    0.944
1991    none     12060     7171      661    19892     -NA-    0.979    0.676    0.068    0.161    0.839
1992    none     14448     4209      151    18808     -NA-    1.218    1.074    0.281    0.190    1.178
1993    none     10757     9673       97    20527     -NA-    0.999    0.696    0.408    0.147    0.853
1994    none      3206     4011      265     7482     -NA-    1.766    1.047    0.222    0.381    1.326
1995    none      1813     4494      218     6525     -NA-    1.032    0.499    0.169    0.382    0.636
1996    none      3114      806      224     4144     -NA-    1.274    0.941    0.088    0.267    1.145
1997    none      2162     2399       17     4578     -NA-    1.252    0.661    0.391    0.299    0.939
1998    none      1416     1604       53     3073     -NA-    1.950    0.675    0.262    0.620    1.255
1999    none      2365     2401       33     4799     -NA-    1.312    0.462    0.288    0.428    0.880
2000    none      4164     1905       63     6132     -NA-    1.456    0.658    0.154    0.425    1.195
2001    none      2771     4313       98     7182     -NA-    1.274    0.568    0.112    0.377    0.834
2002    none      9489     2098       57    11644     -NA-    1.712    0.674    0.377    0.642    1.519
2003    none     12679    12818       87    25584     -NA-    1.407    0.506    0.143    0.452    0.952
2004    none     16481    11726      489    28696     -NA-    1.074    0.603    0.116    0.220    0.865
2005    none      8228     7426      573    16227     -NA-    1.340    0.937    0.108    0.233    1.112
2006    none     12118     6749      818    19685     -NA-    1.604    0.643    0.075    0.533    1.211
2007    none      4626    14471      422    19519     -NA-    1.171    0.527    0.090    0.411    0.670
2008    none      3397     2909      532     6838     -NA-    1.005    0.746    0.126    0.179    0.826
2009    none      6413     1385       69     7867     -NA-    0.883    0.987    0.275    0.104    0.896
2010    none     10885     1525        0    12410     -NA-    0.830    1.484     -NA-    0.209    0.911
2011    none      4515     1743        6     6264     -NA-    0.870    2.061    3.306    0.391    1.204
2012    none     10654      973        0    11627     -NA-    0.849    1.603     -NA-    0.188    0.915
2013    none      5712     2015        0     7727     -NA-    0.989    1.800     -NA-    0.217    1.202
2014    none     10735     2182       39    12956     -NA-    0.869    1.029    0.815    0.114    0.896
2015    none     11800     2300        0    14100     -NA-    1.000    1.611     -NA-    0.100    1.101
Average Magnitudes                                                                       0.269    0.158

TERMINAL RUN CALIBRATION FOR SUM
1503B.OP7     STAGE 2 CALIBRATION 1503B
----------------------------------------------

       Calibration Data                               MODEL COMPARISONS                  Age    
Year    Age 2    Age 3    Age 4    Age 5    Total    Age 2    Age 3    Age 4    Age 5  Struct.    Total
=======================================================================================================
1979    none     none     none     none     22142     -NA-     -NA-     -NA-     -NA-     -NA-    1.011
1980    none     none     none     none     22498     -NA-     -NA-     -NA-     -NA-     -NA-    0.947
1981    none     none     none     none     18746     -NA-     -NA-     -NA-     -NA-     -NA-    0.988
1982    none     none     none     none     14369     -NA-     -NA-     -NA-     -NA-     -NA-    1.071
1983    none     none     none     none     13145     -NA-     -NA-     -NA-     -NA-     -NA-    1.138
1984    none     none     none     none     18765     -NA-     -NA-     -NA-     -NA-     -NA-    0.886
1985    none     none     none     none     18522     -NA-     -NA-     -NA-     -NA-     -NA-    0.994
1986    none     none     none     none     18752     -NA-     -NA-     -NA-     -NA-     -NA-    1.054
1987    none     none     none     none     22715     -NA-     -NA-     -NA-     -NA-     -NA-    0.950
1988    none     none     none     none     22720     -NA-     -NA-     -NA-     -NA-     -NA-    0.996
1989    none     none     none     none     22201     -NA-     -NA-     -NA-     -NA-     -NA-    0.954
1990    none     none     none     none     18794     -NA-     -NA-     -NA-     -NA-     -NA-    1.001
1991    none     none     none     none     14323     -NA-     -NA-     -NA-     -NA-     -NA-    1.003
1992    none     none     none     none      9428     -NA-     -NA-     -NA-     -NA-     -NA-    1.290
1993    none     none     none     none     14021     -NA-     -NA-     -NA-     -NA-     -NA-    0.926
1994    none     none     none     none     14691     -NA-     -NA-     -NA-     -NA-     -NA-    0.905
1995    none     none     none     none     12455     -NA-     -NA-     -NA-     -NA-     -NA-    1.041
1996    none     none     none     none     12080     -NA-     -NA-     -NA-     -NA-     -NA-    1.155
1997    none     none     none     none     17709     -NA-     -NA-     -NA-     -NA-     -NA-    0.891
1998    none     none     none     none     15536     -NA-     -NA-     -NA-     -NA-     -NA-    1.115
1999    none     none     none     none     21867     -NA-     -NA-     -NA-     -NA-     -NA-    0.945
2000    none     none     none     none     22595     -NA-     -NA-     -NA-     -NA-     -NA-    1.333
2001    none     none     none     none     52960     -NA-     -NA-     -NA-     -NA-     -NA-    1.008
2002    none     none     none     none     89524     -NA-     -NA-     -NA-     -NA-     -NA-    0.857
2003    none     none     none     none     83058     -NA-     -NA-     -NA-     -NA-     -NA-    0.970
2004    none     none     none     none     65623     -NA-     -NA-     -NA-     -NA-     -NA-    1.064
2005    none     none     none     none     60272     -NA-     -NA-     -NA-     -NA-     -NA-    1.107
2006    none     none     none     none     77573     -NA-     -NA-     -NA-     -NA-     -NA-    0.807
2007    none     none     none     none     37035     -NA-     -NA-     -NA-     -NA-     -NA-    1.395
2008    none     none     none     none     55532     -NA-     -NA-     -NA-     -NA-     -NA-    0.920
2009    none     none     none     none     53881     -NA-     -NA-     -NA-     -NA-     -NA-    1.108
2010    none     none     none     none     72364     -NA-     -NA-     -NA-     -NA-     -NA-    0.952
2011    none     none     none     none     80574     -NA-     -NA-     -NA-     -NA-     -NA-    0.902
2012    none     none     none     none     58300     -NA-     -NA-     -NA-     -NA-     -NA-    1.111
2013    none     none     none     none     67603     -NA-     -NA-     -NA-     -NA-     -NA-    1.028
2014    none     none     none     none     78304     -NA-     -NA-     -NA-     -NA-     -NA-    0.942
2015    none     none     none     none     73000     -NA-     -NA-     -NA-     -NA-     -NA-    1.050
Average Magnitudes                                                                       0.000    0.091

ESCAPEMENT CALIBRATION FOR ORC
1503B.OP7     STAGE 2 CALIBRATION 1503B
----------------------------------------------

       Calibration Data                               MODEL COMPARISONS                  Age    
Year    Age 2    Age 3    Age 4    Age 5    Total    Age 2    Age 3    Age 4    Age 5  Struct.    Total
=======================================================================================================
1979    none      8497    24670    28989    62156     -NA-    2.787    1.469    1.000    0.430    1.430
1980    none      9049    26272    30871    66192     -NA-    3.264    1.076    0.625    0.514    1.165
1981    none      9411    27324    32107    68842     -NA-    1.484    0.769    0.465    0.407    0.725
1982    none     10136    29428    34580    74144     -NA-    1.971    0.960    0.590    0.340    0.926
1983    none      6592    19139    22489    48220     -NA-    3.127    1.196    0.850    0.439    1.299
1984    none     15767    45777    53791   115335     -NA-    2.202    1.131    0.747    0.334    1.098
1985    none     17109    49673    58369   125151     -NA-    0.217    1.183    0.657    0.340    0.806
1986    none     15489    36977    73981   126447     -NA-    2.019    1.124    0.621    0.383    0.939
1987    none     14509    38103    56835   109447     -NA-    2.208    1.238    1.155    0.324    1.324
1988    none     17939    80427    92193   190559     -NA-    0.950    1.041    0.730    0.152    0.882
1989    none     17387    28353    70893   116633     -NA-    0.819    0.951    0.706    0.217    0.783
1990    none      8963    32975    50221    92159     -NA-    1.911    1.030    1.046    0.124    1.124
1991    none     14002    31274    53145    98421     -NA-    0.976    1.007    1.041    0.028    1.021
1992    none      9921    52454    49562   111937     -NA-    1.948    0.836    0.831    0.236    0.932
1993    none      7064    13639    34342    55045     -NA-    4.363    1.398    1.261    0.693    1.693
1994    none      2557    67070    53460   123087     -NA-    4.780    0.866    0.722    0.272    0.885
1995    none     27202    16802    71016   115020     -NA-    2.388    1.234    0.792    0.491    1.234
1996    none     13211    77393    34262   124866     -NA-    1.216    0.581    0.603    0.391    0.654
1997    none      7356    18961    48447    74764     -NA-    1.755    1.863    0.890    0.364    1.222
1998    none      7187    34078    42951    84216     -NA-    2.771    1.166    0.553    0.446    0.990
1999    none      5567    45903    32823    84293     -NA-    2.937    0.711    0.659    0.418    0.838
2000    none     17684    25920    25470    69074     -NA-    2.633    1.124    1.022    0.473    1.473
2001    none     28669    80917    23146   132732     -NA-    1.286    0.994    0.395    0.171    0.953
2002    none     55680    60599    60650   176929     -NA-    1.453    1.020    0.532    0.310    0.989
2003    none     18534   105432    50125   174091     -NA-    1.947    0.942    0.812    0.190    1.011
2004    none     10002    39093    81812   130907     -NA-    3.024    1.651    0.767    0.495    1.204
2005    none      8426    53078   106178   167682     -NA-    3.234    1.184    0.595    0.427    0.914
2006    none      3596    44693    61902   110191     -NA-    2.912    0.782    0.515    0.423    0.702
2007    none       771     9159    37082    47012     -NA-    3.254    1.978    0.755    0.421    1.034
2008    none      3677    12420    23518    39615     -NA-    3.198    0.864    0.327    0.646    0.762
2009    none     12019    20799     8982    41800     -NA-    1.042    0.869    0.995    0.078    0.946
2010    none     16531    33391    14877    64799     -NA-    2.661    1.055    0.641    0.535    1.369
2011    none     23664    45969    18013    87646     -NA-    1.763    0.871    0.871    0.300    1.112
2012    none     18606    33643    36123    88372     -NA-    0.867    0.868    0.404    0.322    0.678
2013    none     18517    54000    23077    95594     -NA-    2.258    1.055    0.410    0.418    1.133
2014    none     11000    58544    26728    96272     -NA-    1.897    0.964    0.980    0.130    1.075
2015    none     12074    38332    44309    94715     -NA-    1.000    0.742    0.522    0.328    0.672
Average Magnitudes                                                                       0.352    0.190

TERMINAL RUN CALIBRATION FOR WCN
1503B.OP7     STAGE 2 CALIBRATION 1503B
----------------------------------------------

       Calibration Data                               MODEL COMPARISONS                  Age    
Year    Age 2    Age 3    Age 4    Age 5    Total    Age 2    Age 3    Age 4    Age 5  Struct.    Total
=======================================================================================================
1979    none     none     none     none     25800     -NA-     -NA-     -NA-     -NA-     -NA-    1.201
1980    none     none     none     none     39900     -NA-     -NA-     -NA-     -NA-     -NA-    0.851
1981    none     none     none     none     32502     -NA-     -NA-     -NA-     -NA-     -NA-    1.040
1982    none     none     none     none     36251     -NA-     -NA-     -NA-     -NA-     -NA-    0.882
1983    none     none     none     none     22530     -NA-     -NA-     -NA-     -NA-     -NA-    1.436
1984    none     none     none     none     42047     -NA-     -NA-     -NA-     -NA-     -NA-    0.795
1985    none     none     none     none     33140     -NA-     -NA-     -NA-     -NA-     -NA-    1.224
1986    none     none     none     none     51719     -NA-     -NA-     -NA-     -NA-     -NA-    1.035
1987    none     none     none     none     71455     -NA-     -NA-     -NA-     -NA-     -NA-    0.906
1988    none     none     none     none     79739     -NA-     -NA-     -NA-     -NA-     -NA-    0.986
1989    none     none     none     none     92938     -NA-     -NA-     -NA-     -NA-     -NA-    0.863
1990    none     none     none     none     75381     -NA-     -NA-     -NA-     -NA-     -NA-    0.976
1991    none     none     none     none     50433     -NA-     -NA-     -NA-     -NA-     -NA-    1.224
1992    none     none     none     none     56359     -NA-     -NA-     -NA-     -NA-     -NA-    0.952
1993    none     none     none     none     48879     -NA-     -NA-     -NA-     -NA-     -NA-    1.058
1994    none     none     none     none     49372     -NA-     -NA-     -NA-     -NA-     -NA-    0.974
1995    none     none     none     none     48656     -NA-     -NA-     -NA-     -NA-     -NA-    0.961
1996    none     none     none     none     52356     -NA-     -NA-     -NA-     -NA-     -NA-    0.966
1997    none     none     none     none     44386     -NA-     -NA-     -NA-     -NA-     -NA-    1.010
1998    none     none     none     none     39048     -NA-     -NA-     -NA-     -NA-     -NA-    0.925
1999    none     none     none     none     23899     -NA-     -NA-     -NA-     -NA-     -NA-    1.295
2000    none     none     none     none     26360     -NA-     -NA-     -NA-     -NA-     -NA-    1.120
2001    none     none     none     none     34344     -NA-     -NA-     -NA-     -NA-     -NA-    0.943
2002    none     none     none     none     36175     -NA-     -NA-     -NA-     -NA-     -NA-    1.033
2003    none     none     none     none     39859     -NA-     -NA-     -NA-     -NA-     -NA-    1.090
2004    none     none     none     none     58681     -NA-     -NA-     -NA-     -NA-     -NA-    0.789
2005    none     none     none     none     41860     -NA-     -NA-     -NA-     -NA-     -NA-    1.064
2006    none     none     none     none     37603     -NA-     -NA-     -NA-     -NA-     -NA-    0.999
2007    none     none     none     none     24917     -NA-     -NA-     -NA-     -NA-     -NA-    1.223
2008    none     none     none     none     30494     -NA-     -NA-     -NA-     -NA-     -NA-    0.955
